instnm,ZIP code,Cost of Attendance,Computer Science,Education,Chemical Engineering,Mechanical Engineering,Electrical and Computer Engineering,English Language and Literature,Biology,Mathematics and Statistics,Philosophy,Religion/Religious Studies,Psychology,Dance,Business/Commerce,History
Saint Michael's College,5439,62195,10,2,,,,27,42,14,5,1,46,,,8
Saint Norbert College,54115-2099,52014,8,63,,,,13,45,8,2,4,27,,49,5
Saint Xavier University,60655,49064,24,36,,,,4,39,2,2,2,68,,45,6
Salem State University,1970,28164,30,108,,,,56,73,6,3,,134,5,,36
San Diego State University,92182-0001,30522,206,157,,302,,102,282,98,23,4,513,8,,60
San Francisco State University,94132,26987,263,198,,97,,169,320,59,34,0,405,13,,77
San Jose State University,95192-0001,30065,162,246,49,193,,89,154,78,14,0,427,14,,48
Scripps College,91711-3905,77588,11,,,,,16,11,4,4,3,16,0,,3
Seattle Pacific University,98119-1997,61452,26,29,,18,,25,7,12,1,,64,,70,8
Seattle University,98122-4340,63921,58,0,,36,,32,38,20,7,2,73,,2,18
Seton Hill University,15601,52768,9,32,,,,9,17,5,,1,11,4,,2
Shaw University,27601,29734,7,5,,,,,6,,,,10,,,
Simpson College,50125,54008,12,20,,,,11,19,9,0,3,15,,,8
Smith College,1063,75169,37,8,,,,38,54,21,5,6,55,2,,17
Sonoma State University,94928-3609,28268,66,115,,,,78,87,41,24,,210,,,59
Southeastern Louisiana University,70402,22689,42,115,,,,21,105,7,,,81,,,21
Southern Adventist University,37315-0370,35510,13,22,,,,6,44,3,,3,13,,,7
Southern Illinois University-Carbondale,62901-4512,29567,31,253,,56,,26,49,6,3,,83,,,16
Southern Illinois University-Edwardsville,62026-1259,25921,76,103,,82,,54,134,21,8,,176,,,48
Southern Methodist University,75275-0221,76710,50,14,,79,,28,69,129,15,5,60,12,,18
Southern New Hampshire University,03106-1045,51878,129,69,,6,,583,1,139,,,1201,,,226
Southern University and A & M College,70813,23592,28,4,,18,,7,34,6,,,50,,,7
Southern Utah University,84720,20519,19,95,,11,,26,88,6,5,,91,2,,14
Southwest Baptist University,65613-2596,35898,11,49,,,,2,10,3,,0,15,,3,6
Southwest Minnesota State University,56258-5468,21282,13,104,,,,6,18,4,1,,24,,,8
Southwestern Adventist University,76059,33798,4,18,,,,2,12,0,,3,13,,,1
Southwestern College,67156-6224,47077,3,16,,,,2,5,1,,1,18,,,1
Spring Arbor University,49283-9799,42470,4,43,,,,14,5,1,4,1,15,,,1
St Olaf College,55057-1098,62880,14,23,,,,28,98,47,10,7,44,7,,17
St. Mary's University,78228,47300,14,0,,,,14,42,16,5,,45,,,6
Stanford University,94305,74570,305,,11,52,,47,63,87,15,1,46,,,30
Stetson University,32723,65698,7,34,,,,17,30,6,7,4,80,,,8
Stevens Institute of Technology,07030-5991,72034,72,,55,141,,0,9,56,,,,,,
Stockton University,08205-9441,31364,1,11,,,,37,140,27,,,165,,,28
Stonehill College,02357-6110,63540,14,43,,,,14,35,9,6,2,70,,,4
Stony Brook University,11794,27221,250,0,32,135,,73,428,385,8,0,456,,,65
Suffolk University,02108-3901,61216,21,,,,,22,48,0,3,,65,,3,11
